model_name,outcome,treatment,n_obs,k_params,coef_treatment,se_hc1_treatment,t_hc1_treatment,p_hc1_treatment,ci95_low,ci95_high,r2
second_stage_baseline,log_price,available,24228568,19,0.10145095876979937,0.0003394452804851506,298.872792176698,0.0,0.10078564602004847,0.10211627151955027,0.3080003987364014
second_stage_ml,log_price,latent_adoption_propensity_proxy,24228568,19,1.4364532926509384,0.0011394710657149697,1260.6316525901648,0.0,1.434219929362137,1.4386866559397398,0.34743953562522145
