model_name,outcome,treatment,n_obs,k_params,coef_treatment,se_hc1_treatment,t_hc1_treatment,p_hc1_treatment,ci95_low,ci95_high,r2
first_stage_baseline,available,post_cutoff,24228568,19,-0.04450412952755611,0.00037710112137268634,-118.0164338031045,0.0,-0.04524324772544658,-0.04376501132966565,0.1356612831138828
first_stage_ml,latent_adoption_propensity_proxy,post_cutoff,24228568,19,2.6356313727937675e-05,0.00011015221775781881,0.23927174835358095,0.8108948707710979,-0.0001895420330773872,0.00024225466053326254,0.1360225339344363
