city_slug,window_months,n_obs,first_stage_available_pre,first_stage_available_post,first_stage_coef_post,first_stage_se_post,first_stage_t_post,first_stage_f_post,first_stage_r2
pooled,1,8163974,0.5569238706541692,0.5026593666270863,-0.041857475867671745,0.0006490894053373015,-64.4864567553993,4158.503104865984,0.13837948421836066
pooled,2,16327948,0.5571227933846923,0.49885398949090237,-0.045232499170285045,0.00045889924744706276,-98.56738580836948,9715.529545095957,0.138016102661498
pooled,3,24228568,0.5554307625609569,0.491937946972351,-0.04450162146676995,0.00037738263850366633,-117.92175083416723,13905.53931979542,0.13557066852983202
austin,1,955916,0.44366450608630886,0.4413651408701183,-0.0022919445298144048,0.001826845213717187,-1.2545915289401304,1.573999904488334,0.19302900987137528
austin,2,1911832,0.46660899074814105,0.41191485444327747,0.05492946305027946,0.0012881420534068848,42.64239561545385,1818.3739038248777,0.19536428147534213
austin,3,2836912,0.4891276148149819,0.39471791863829403,0.035996943987355756,0.0010545869545726463,34.13368981218141,1165.108780194217,0.20059156891362206
boston,1,274412,0.6176770695159104,0.5925469731644388,-0.02255464623632264,0.0035263524888283207,-6.396027143564633,40.909163221215564,0.10889893297215392
boston,2,548824,0.631874699357171,0.5770848213634973,0.013718977189338233,0.0024922548575221407,5.504644578355027,30.30111193401339,0.10922570231340478
boston,3,814384,0.636792962533645,0.5524813847030393,0.0052097334311911325,0.0020551280200674805,2.534992166093901,6.42618528215745,0.10832338221169702
chicago,1,541942,0.6471504330721738,0.619656716032343,0.048963357128824825,0.0025466973465403035,19.226217514751685,369.64743992454447,0.05543823876169929
chicago,2,1083884,0.6650490273866945,0.6121134733975222,-0.0035146256147680077,0.0017974361916001666,-1.955354872230048,3.8234126763537875,0.05208781169713961
chicago,3,1608344,0.6616743681699935,0.5959919022298712,-0.01129816223202429,0.0014832184024411446,-7.617328785450132,58.02369782564718,0.05270810181578667
los-angeles,1,2790496,0.6206079492678004,0.5313901184592273,-0.07986168604979582,0.0011152401298420843,-71.60940851465242,5127.9073878183735,0.1131919564207744
los-angeles,2,5580992,0.6135396718002821,0.5335449325137896,-0.0930112698303791,0.0007895877537134614,-117.7972548243606,13876.193244155349,0.11124848498747186
los-angeles,3,8281472,0.6090236131934033,0.5305073783984297,-0.08421784354142936,0.0006494610944987064,-129.67342348109983,16815.196757308655,0.10953928763279397
new-york-city,1,2320536,0.4937393774541744,0.4443852627151658,-0.049135533792640906,0.0011191438412195044,-43.9045741779708,1927.6116337489404,0.27174152531327067
new-york-city,2,4641072,0.4815335767253772,0.44638221514339793,-0.05871200995070103,0.0007937309222720221,-73.9696644079839,5471.51125262976,0.2654915158459594
new-york-city,3,6886752,0.47151719707635764,0.4469413157320025,-0.05487363942269363,0.0006541321432085484,-83.8876976042423,7037.1458093408,0.2585114824748901
san-francisco,1,484654,0.561629533646684,0.4772641925992564,-0.07185213209437524,0.002690873835477838,-26.70215568899608,713.0051184393857,0.1227432455207701
san-francisco,2,969308,0.5549546686914789,0.4809658024074907,-0.08938551560196739,0.0019072069378040177,-46.86723492359304,2196.537709383259,0.117767255112875
san-francisco,3,1438328,0.5494490825458449,0.48091951210016076,-0.08349450409308368,0.0015694847223641163,-53.19867272573117,2830.0987797794537,0.1135958342922131
seattle,1,419244,0.5680128994094131,0.5312324088120521,0.03538312478302963,0.0029694230856698645,11.915824644115219,141.98687694930356,0.06813184711579878
seattle,2,838488,0.5751638663880699,0.5304094990029673,-0.018782666802874104,0.0021012255968628326,-8.938910144116349,79.90411456458617,0.06443731559601351
seattle,3,1244208,0.5734716381826833,0.5108454534933066,-0.005347962123231298,0.001726529283599336,-3.097521816764252,9.594641405330513,0.06632207535750434
washington-dc,1,376774,0.5693439568547723,0.5714088551757818,-0.008077401700357534,0.003106677772403865,-2.600012712006323,6.7600661025944735,0.0739983845388913
washington-dc,2,753548,0.6075100723510646,0.5536793940133873,0.062405721597731834,0.002188772867558879,28.511739396391746,812.9192834077572,0.07379134952956534
washington-dc,3,1118168,0.6190894391540448,0.5294428028704095,0.032128340931008026,0.001798672542972198,17.862251278889197,319.06002075017875,0.07539131063115356
