window_months,n_obs,second_stage_coef_available_hat,second_stage_se_available_hat,second_stage_t_available_hat,second_stage_p_available_hat,second_stage_ci95_low,second_stage_ci95_high
1,8163974,0.0034143468583351932,0.026540445335356152,0.128646931699625,0.8976370287063555,-0.048604925998962864,0.05543361971563325
2,16327948,0.003347124180436367,0.01735614744119228,0.19284948988693523,0.8470768435846856,-0.030670924804300503,0.03736517316517324
3,24228568,0.002736112681304803,0.014480810710657486,0.1889474792520489,0.8501339806793837,-0.02564627631158387,0.031118501674193475
