term,coef,std_error,t_stat,p_value,ci_low,ci_high,dependent_var,nobs,n_entities,n_dates,rsquared_within,rsquared_overall,estimator,covariance,fallback_used,term_status
dynamic_algo_adopted,4.460190126261624e-05,2.7547344550767822e-05,1.619099843922091,0.1054258571722464,-9.389917421490679e-06,9.859371994672316e-05,log_price,4236416.0,18721,184,-4.278451561390284e-05,3.0582586839633663e-06,linearmodels.PanelOLS,clustered_by_listing,False,estimated
available,-1.8945722831396747e-05,1.022708556973208e-05,-1.8525045774006437,0.06395347068703838,-3.899044796743277e-05,1.0990023046392785e-06,log_price,4236416.0,18721,184,-4.278451561390284e-05,3.0582586839633663e-06,linearmodels.PanelOLS,clustered_by_listing,False,estimated
minimum_nights,5.985827709504577e-09,1.4819481514672016e-07,0.040391613590383124,0.9677809180919785,-2.8447075603055824e-07,2.964424114495674e-07,log_price,4236416.0,18721,184,-4.278451561390284e-05,3.0582586839633663e-06,linearmodels.PanelOLS,clustered_by_listing,False,estimated
maximum_nights,1.4358591496101594e-14,1.0699511659798909e-14,1.3419856861365815,0.17960070906495962,-6.612072027553677e-15,3.5329255019756865e-14,log_price,4236416.0,18721,184,-4.278451561390284e-05,3.0582586839633663e-06,linearmodels.PanelOLS,clustered_by_listing,False,estimated
price_volatility_7d,-1.069584585836512e-06,5.816548175131104e-05,-0.01838864827784915,0.98532880914488,-0.00011507186667886612,0.0001129326975071931,log_price,4236416.0,18721,184,-4.278451561390284e-05,3.0582586839633663e-06,linearmodels.PanelOLS,clustered_by_listing,False,estimated
