city_slug,window_months,period,post_cutoff,n_obs,mean_price_usd,std_price_usd,p10_price_usd,p25_price_usd,median_price_usd,p75_price_usd,p90_price_usd,mean_log_price,std_log_price,p10_log_price,p25_log_price,median_log_price,p75_log_price,p90_log_price
austin,1,pre,0,477958,380.7075517095644,1105.3329565466368,63.0,100.0,169.0,313.0,699.0,5.246870720901591,0.9749644055068617,4.143134726391533,4.605170185988092,5.1298987149230735,5.746203190540153,6.54965074223381
austin,1,post,1,477958,380.6840977659125,1105.2980525646406,63.0,100.0,169.0,313.0,699.0,5.2468591002522285,0.9749362626430417,4.143134726391533,4.605170185988092,5.1298987149230735,5.746203190540153,6.54965074223381
austin,2,pre,0,955916,380.7073205177024,1105.3338018787279,63.0,100.0,169.0,313.0,699.0,5.246870347622135,0.9749637395704007,4.143134726391533,4.605170185988092,5.1298987149230735,5.746203190540153,6.54965074223381
austin,2,post,1,955916,380.68503090229683,1105.3095748194796,63.0,100.0,169.0,313.0,699.0,5.246857060112115,0.9749337525467298,4.143134726391533,4.605170185988092,5.1298987149230735,5.746203190540153,6.54965074223381
austin,3,pre,0,1418456,380.70717879158747,1105.3345639780807,63.0,100.0,169.0,313.0,699.0,5.2468700897043785,0.9749632740260352,4.143134726391533,4.605170185988092,5.1298987149230735,5.746203190540153,6.54965074223381
austin,3,post,1,1418456,380.6521971777764,1105.2621120197114,63.0,100.0,169.0,313.0,699.0,5.246840223580569,0.9748936758748039,4.143134726391533,4.605170185988092,5.1298987149230735,5.746203190540153,6.54965074223381
boston,1,pre,0,137206,249.61138725711703,399.8587430161924,60.0,99.0,179.0,298.0,500.0,5.164466631439678,0.7938070784340924,4.0943445622221,4.59511985013459,5.187385805840755,5.697093486505405,6.214608098422191
boston,1,post,1,137206,249.61138725711703,399.8587430161924,60.0,99.0,179.0,298.0,500.0,5.164466631439678,0.7938070784340925,4.0943445622221,4.59511985013459,5.187385805840755,5.697093486505405,6.214608098422191
boston,2,pre,0,274412,249.61138725711703,399.8587430161924,60.0,99.0,179.0,298.0,500.0,5.164466631439679,0.7938070784340923,4.0943445622221,4.59511985013459,5.187385805840755,5.697093486505405,6.214608098422191
boston,2,post,1,274412,249.61138725711703,399.8587430161924,60.0,99.0,179.0,298.0,500.0,5.164466631439679,0.7938070784340923,4.0943445622221,4.59511985013459,5.187385805840755,5.697093486505405,6.214608098422191
