city_slug,mean_missing_rate,max_missing_rate,n_fields,n_fields_gt_1pct,n_fields_gt_5pct,top_missing_field,top_missing_rate
austin,0.06836165520819819,0.290893760539629,13,5,4,host_response_rate,0.290893760539629
boston,0.038461538461538436,0.1522819701762313,13,5,4,bathrooms,0.1522819701762313
chicago,0.02094461996075081,0.0906074819814666,13,5,3,host_response_rate,0.0906074819814666
los-angeles,0.057712816866745044,0.2306923213650906,13,5,4,host_response_rate,0.2306923213650906
new-york-city,0.10717192394011885,0.4312813936090627,13,5,4,host_response_rate,0.4312813936090627
san-francisco,0.045777939599098594,0.2259178713061276,13,5,4,bathrooms,0.2259178713061276
seattle,0.02911064091188313,0.1330967169476486,13,5,3,host_response_rate,0.1330967169476486
washington-dc,0.027189529246465224,0.2005923975645878,13,5,2,bathrooms,0.2005923975645878
