city_slug,city_name,days_from_cutoff,n_obs,mean_price_usd,mean_log_price,availability_rate
austin,Austin,-92,15418,380.70832792839536,5.246870500961304,0.5332079387728629
austin,Austin,-91,15418,380.6758334414321,5.246855995598977,0.535737449734077
austin,Austin,-90,15418,380.6758334414321,5.246855995598977,0.5366454793098975
austin,Austin,-89,15418,380.70832792839536,5.246870500961304,0.5367103385653132
austin,Austin,-88,15418,380.7292126086393,5.246879125437506,0.5297703982358283
austin,Austin,-87,15418,380.7292126086393,5.246879125437506,0.5274354650408614
austin,Austin,-86,15418,380.7292126086393,5.246879125437506,0.5274354650408614
austin,Austin,-85,15418,380.70832792839536,5.246870500961304,0.538072382929044
austin,Austin,-84,15418,380.6758334414321,5.246855995598977,0.5401478791023478
austin,Austin,-83,15418,380.6758334414321,5.246855995598977,0.5410559086781683
austin,Austin,-82,15418,380.70832792839536,5.246870500961304,0.5407964716565054
austin,Austin,-81,15418,380.7292126086393,5.246879125437505,0.5350888571799196
austin,Austin,-80,15418,380.7292126086393,5.246879125437505,0.5340511090932676
austin,Austin,-79,15418,380.7292126086393,5.246879125437505,0.5341808276040991
austin,Austin,-78,15418,380.70832792839536,5.246870500961304,0.5418342197431574
austin,Austin,-77,15418,380.6758334414321,5.246855995598977,0.5415747827214944
austin,Austin,-76,15418,380.6758334414321,5.246855995598977,0.5407964716565054
austin,Austin,-75,15418,380.70832792839536,5.246870500961304,0.5340511090932676
austin,Austin,-74,15418,380.7292126086393,5.246879125437505,0.5252951096121417
austin,Austin,-73,15418,380.7292126086393,5.246879125437505,0.5230898949280062
austin,Austin,-72,15418,380.7292126086393,5.246879125437505,0.524192502270074
austin,Austin,-71,15418,380.70832792839536,5.246870500961304,0.5334025165391101
austin,Austin,-70,15418,380.6758334414321,5.246855995598977,0.5411856271889999
austin,Austin,-69,15418,380.6758334414321,5.246855995598977,0.5419639382539888
austin,Austin,-68,15418,380.70832792839536,5.246870500961304,0.5405370346348424
austin,Austin,-67,15418,380.7277857050201,5.24687785137545,0.5363211830328188
