city_slug,city_name,year_month,n_listings_active,n_listing_days,mean_price_usd,median_price_usd,mean_log_price,availability_rate,share_post_cutoff,mean_days_from_cutoff
austin,Austin,2025-06,15418,462540,380.70688589095,169.0,5.246869556674351,0.5356661045531197,0.0,-77.5
austin,Austin,2025-07,15418,477958,380.70708932584034,169.0,5.246869974342674,0.48955347540997324,0.0,-47.0
austin,Austin,2025-08,15418,477958,380.7075517095644,169.0,5.246870720901594,0.44366450608630886,0.0,-16.0
austin,Austin,2025-09,15418,462540,380.68729190988887,169.0,5.24686103975915,0.44147965581355125,1.0,14.5
austin,Austin,2025-10,15418,477958,380.68544307240387,169.0,5.246854506803299,0.38491038961582397,1.0,45.0
austin,Austin,2025-11,15418,462540,380.58797509404593,169.0,5.2468075295030685,0.359279197474813,1.0,75.5
austin,Austin,2025-12,15418,15418,380.4953949928655,169.0,5.246753780643283,0.35906083798157995,1.0,91.0
boston,Boston,2025-06,4426,132780,249.61138725711703,179.0,5.164466631439678,0.6469573730983582,0.0,-77.5
boston,Boston,2025-07,4426,137206,249.61138725711703,179.0,5.164466631439678,0.6460723291984316,0.0,-47.0
boston,Boston,2025-08,4426,137206,249.61138725711703,179.0,5.164466631439678,0.6176770695159104,0.0,-16.0
boston,Boston,2025-09,4426,132780,249.61138725711703,179.0,5.164466631439678,0.5924536827835517,1.0,14.5
boston,Boston,2025-10,4426,137206,249.61138725711703,179.0,5.164466631439678,0.564559858898299,1.0,45.0
boston,Boston,2025-11,4426,132780,249.61138725711703,179.0,5.164466631439678,0.5018150323843953,1.0,75.5
boston,Boston,2025-12,4426,4426,249.61138725711703,179.0,5.164466631439678,0.49887031179394487,1.0,91.0
chicago,Chicago,2025-06,8741,262230,542.5947145635511,150.0,5.14831473961592,0.654700072455478,0.0,-77.5
chicago,Chicago,2025-07,8741,270971,542.5994885061501,150.0,5.148316349048681,0.6829476217012153,0.0,-47.0
chicago,Chicago,2025-08,8741,270971,542.7876488627934,150.0,5.148356567004203,0.6471504330721738,0.0,-16.0
chicago,Chicago,2025-09,8741,262230,542.7671891087977,150.0,5.148349669435227,0.6194485756778401,1.0,14.5
chicago,Chicago,2025-10,8741,270971,542.7825339242945,150.0,5.148354842611959,0.6047584427853904,1.0,45.0
chicago,Chicago,2025-11,8741,262230,542.7989017274912,150.0,5.148360360667142,0.5657552530221561,1.0,75.5
chicago,Chicago,2025-12,8741,8741,542.7671891087977,150.0,5.148349669435226,0.5276284178011669,1.0,91.0
los-angeles,Los Angeles,2025-06,45008,1350240,383.3698900195521,155.0,5.1575378593466645,0.5996904254058538,0.0,-77.5
los-angeles,Los Angeles,2025-07,45008,1395248,383.5481654229212,155.0,5.157611054095087,0.6064713943327638,0.0,-47.0
los-angeles,Los Angeles,2025-08,45008,1395248,383.4243042885566,155.0,5.157571061626289,0.6206079492678004,0.0,-16.0
los-angeles,Los Angeles,2025-09,45008,1350240,383.11850063692384,155.0,5.157411036562674,0.5312781431449224,1.0,14.5
los-angeles,Los Angeles,2025-10,45008,1395248,382.94316616830844,155.0,5.157372172095154,0.5356094400422003,1.0,45.0
los-angeles,Los Angeles,2025-11,45008,1350240,383.0492796095509,155.0,5.157394328497129,0.5272803353477901,1.0,75.5
los-angeles,Los Angeles,2025-12,45008,45008,382.8536129132599,155.0,5.157328788164444,0.4460318165659438,1.0,91.0
new-york-city,New York City,2025-06,37428,1122840,381.77727770652984,133.0,4.9813970406633405,0.4508166791350504,0.0,-77.5
new-york-city,New York City,2025-07,37428,1160268,381.77727770652984,133.0,4.9813970406633405,0.4693277759965801,0.0,-47.0
new-york-city,New York City,2025-08,37428,1160268,381.77727770652984,133.0,4.9813970406633405,0.4937393774541744,0.0,-16.0
new-york-city,New York City,2025-09,37428,1122840,381.77727770652984,133.0,4.9813970406633405,0.444260090484842,1.0,14.5
new-york-city,New York City,2025-10,37428,1160268,381.77727770652984,133.0,4.9813970406633405,0.4484644926861725,1.0,45.0
new-york-city,New York City,2025-11,37428,1122840,381.77727770652984,133.0,4.9813970406633405,0.44985928538349185,1.0,75.5
new-york-city,New York City,2025-12,37428,37428,381.77727770652984,133.0,4.9813970406633405,0.3926204980228706,1.0,91.0
san-francisco,San Francisco,2025-06,7817,234510,468.93800051170524,167.0,5.224358591724971,0.5380708711782014,0.0,-77.5
san-francisco,San Francisco,2025-07,7817,242327,468.93800051170524,167.0,5.224358591724971,0.5482798037362737,0.0,-47.0
san-francisco,San Francisco,2025-08,7817,242327,468.93800051170524,167.0,5.224358591724971,0.561629533646684,0.0,-16.0
san-francisco,San Francisco,2025-09,7817,234510,468.93800051170524,167.0,5.224358591724971,0.4771907381348343,1.0,14.5
san-francisco,San Francisco,2025-10,7817,242327,468.93800051170524,167.0,5.224358591724971,0.4842588733405687,1.0,45.0
san-francisco,San Francisco,2025-11,7817,234510,468.93800051170524,167.0,5.224358591724971,0.48310093386209546,1.0,75.5
san-francisco,San Francisco,2025-12,7817,7817,468.9380005117053,167.0,5.224358591724971,0.42381987974926444,1.0,91.0
seattle,Seattle,2025-06,6762,202860,235.1136083998817,150.0,5.11110063525136,0.5699743665582175,0.0,-77.5
